Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
3647,10/14/2008,Conveniently Queens with Two Rooms,Queens,Apartment,90,Entire home/apt,11373,1,1,4,89,93
3647,10/14/2008,Quality Cozy Studio Next to Subway,Queens,Apartment,90,Entire home/apt,11373,1,1,16,95,94
3647,10/14/2008,Queens Quality Convenient Apartment,Queens,Apartment,100,Entire home/apt,11373,2,1,9,99,100
3867,10/29/2008,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90,Entire home/apt,10002,1,1,19,149,93
3867,10/29/2008,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80,Entire home/apt,10038,4,1,2,499,80
3867,10/29/2008,Private bedroom in spacious loft!,Manhattan,Apartment,,Private room,10038,4,1,0,99,
3867,10/29/2008,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038,1,1,0,99,
3867,10/29/2008,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038,1,1,0,99,
4177,11/9/2008,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,90,Private room,11206,1,1,16,125,94
4267,11/12/2008,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85,Entire home/apt,10024,2,1,28,170,88
4267,11/12/2008,Airy Room on the fabulous UWS,Manhattan,Apartment,90,Private room,10024,1,1,62,120,92
4396,11/19/2008,"Large Room, Amazing E. Village Apt",Manhattan,Apartment,85,Private room,10009,1,1,23,79,89
4488,11/21/2008,Sunny & Bright Harlem Home,Manhattan,Apartment,95,Entire home/apt,10027,3,1,6,125,97
4732,12/1/2008,A home in the heart of Park Slope,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,5,110,92
4869,12/7/2008,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85,Private room,11238,3,1,14,89,85
5871,12/31/2008,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90,Entire home/apt,11213,3,1,12,180,93
5871,12/31/2008,Bergen's Best!,Brooklyn,Apartment,95,Entire home/apt,11213,3,1,5,180,95
5926,1/2/2009,Charming Central Park Hideaway,Manhattan,Apartment,80,Entire home/apt,10026,1,1,23,143,82
5926,1/2/2009,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85,Entire home/apt,10027,2,1,28,230,89
5926,1/2/2009,Beautiful Apt with Park Views,Manhattan,Apartment,85,Entire home/apt,10030,5,1,40,350,86
5940,1/2/2009,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85,Entire home/apt,11368,2,1,47,135,86
5926,1/2/2009,Beautiful Room 1 with Park Views,Manhattan,Apartment,85,Private room,10027,1,1,9,85,87
5926,1/2/2009,Beautiful Room 2 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,13,85,91
5926,1/2/2009,Beautiful Room 3 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,14,85,92
5926,1/2/2009,Nice Apt Near Columbia University 2,Manhattan,Apartment,80,Private room,10031,1,1,35,60,81
5926,1/2/2009,Nice Apt Near Columbia University 3,Manhattan,Apartment,80,Private room,10031,2,1,34,70,82
5926,1/2/2009,Nice  Apt Near Columbia University,Manhattan,Bed & Breakfast,85,Private room,10031,1,1,68,55,86
6041,1/5/2009,Beautiful Apt. In Astoria,Queens,Apartment,100,Private room,11105,1,1,4,44,100
7118,1/26/2009,PERFECT location! Contact me NOW!,Manhattan,Apartment,85,Entire home/apt,10036,1,1,14,200,87
7222,1/29/2009,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95,Entire home/apt,10003,2,1,42,175,95
7209,1/29/2009,Next to Empire State building,Manhattan,Apartment,100,Entire home/apt,10016,1,1,9,250,100
7230,1/30/2009,"Luxury Building, big 1BR - 90th",Manhattan,Apartment,95,Entire home/apt,10128,2,1,7,165,96
7323,2/2/2009,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85,Entire home/apt,11238,1,1,13,115,88
7299,2/2/2009,"Downtown calm, convenience & space",Manhattan,Apartment,95,Entire home/apt,10005,1,1,16,145,95
7322,2/2/2009,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85,Entire home/apt,10016,1,1,47,200,86
7351,2/2/2009,2 Floor Loft room in Artist Studio,Brooklyn,Loft,80,Private room,11215,2,1,3,74,80
7351,2/2/2009,Spacious Loft Room in Artist Studio,Brooklyn,Loft,,Private room,11215,2,1,0,74,
7351,2/2/2009,Spacious room in Huge artist Loft,Brooklyn,Loft,100,Private room,11215,1,1,2,84,100
7338,2/2/2009,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,100,Private room,10009,,1,3,125,100
7386,2/3/2009,Quiet Slice of Manhattan,Manhattan,Apartment,90,Entire home/apt,10016,1,1,42,129,92
7356,2/3/2009,BlissArtsSpace!,Brooklyn,Apartment,90,Private room,11216,1,1,41,50,90
7356,2/3/2009,Private Bliss Art Space 2,Brooklyn,Apartment,90,Private room,11216,1,1,52,50,93
7414,2/4/2009,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80,Entire home/apt,11217,3,1,15,185,82
7414,2/4/2009,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85,Entire home/apt,11217,3,1,21,185,85
7414,2/4/2009,Skylight on Greene,Brooklyn,Apartment,75,Entire home/apt,11217,3,1,6,150,76
7498,2/6/2009,Your own studio+patio no roommates,Manhattan,Apartment,80,Entire home/apt,10002,1,1,1,80,80
7510,2/6/2009,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85,Entire home/apt,10010,1,1,8,190,89
7510,2/6/2009,Grande Super Large APT !!!,Manhattan,Apartment,80,Entire home/apt,10010,3,1,10,190,80
7510,2/6/2009,Great Apartment with PATIO!!,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,190,80
7510,2/6/2009,Super Large APT,Manhattan,Apartment,80,Entire home/apt,10010,2,1,29,175,80
7510,2/6/2009,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90,Entire home/apt,10011,2,1,29,190,93
7549,2/7/2009,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90,Entire home/apt,10002,1,1,112,140,94
7549,2/7/2009,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95,Entire home/apt,10002,1,1,4,140,95
7549,2/7/2009,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95,Private room,10002,1,1,25,75,97
7549,2/7/2009,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95,Shared room,10002,1,1,132,45,95
7549,2/7/2009,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95,Shared room,10002,1,1,17,45,95
7611,2/9/2009,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,51,135,95
7626,2/9/2009,L.E.S. Must See!!,Manhattan,Apartment,85,Entire home/apt,10002,1,1,156,100,86
7612,2/9/2009,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90,Entire home/apt,10023,1,1,29,145,91
7702,2/10/2009,Beautiful 1br on Upper West Side,Manhattan,Apartment,90,Entire home/apt,10025,1,1,30,135,94
7740,2/11/2009,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200,94
7949,2/15/2009,Creative Charm in Brooklyn,Brooklyn,Apartment,100,Private room,11238,1,1,4,65,100
7999,2/16/2009,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165,100
7987,2/16/2009,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145,94
7989,2/16/2009,Central Manhattan/near Broadway,Manhattan,Apartment,95,Private room,10036,1,1,74,135,97
8057,2/17/2009,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225,89
8057,2/17/2009,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250,78
8057,2/17/2009,Ideal Charming Large W Village Apt!,Manhattan,Apartment,85,Entire home/apt,10014,3,1,32,250,85
8057,2/17/2009,HUGE MODERN LUXURY-2bed/2bath+patio,Manhattan,Loft,100,Entire home/apt,10009,2,1,5,600,100
8178,2/19/2009,Location! Location! Location!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,188,145,90
8178,2/19/2009,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,90,Entire home/apt,11215,3,1,221,149,92
8198,2/19/2009,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,39,150,93
8380,2/22/2009,River view in the Village,Manhattan,Apartment,95,Entire home/apt,10014,1,1,57,200,98
8440,2/23/2009,Beautiful studio by Prospect Park,Brooklyn,Apartment,,Entire home/apt,11218,1,1,0,120,
8440,2/23/2009,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95,Entire home/apt,11218,1,1,4,150,95
8425,2/23/2009,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100,Entire home/apt,10014,1,1,1,175,100
8605,2/25/2009,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90,Entire home/apt,10035,2,1,11,109,91
8730,2/27/2009,Comfort & Convenience,Manhattan,Condominium,100,Entire home/apt,10003,6,1,4,"1,990",100
8703,2/27/2009,"Clean, Safe, Convenient, Comfy",Manhattan,Apartment,100,Shared room,10027,1,1,3,80,100
8967,3/3/2009,Large Furnished Room Near B'way,Manhattan,Apartment,85,Private room,10019,1,1,242,73,85
9744,3/10/2009,"Beautiful Apt, Garden #3 Best Area",Brooklyn,Apartment,95,Entire home/apt,11215,3,1,67,135,97
9744,3/10/2009,Gorgeous house Room 2 BEST location,Brooklyn,House,95,Private room,11215,2,1,95,89,96
9744,3/10/2009,"Gorgeous Room #1, Best Location",Brooklyn,House,90,Private room,11215,2,1,118,89,92
10176,3/14/2009,"Amazing Apt in WILLIAMSBURG, NY!!",Brooklyn,Apartment,95,Entire home/apt,11211,2,1,60,250,96
10151,3/14/2009,Cozy Convenient Apt for Travelers,Queens,Apartment,,Entire home/apt,11358,1,1,0,99,
10889,3/21/2009,BnoB (2 br) — Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,132,250,93
10889,3/21/2009,The Institute—Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,136,250,94
10889,3/21/2009,Great house in Williamsburg,Brooklyn,House,95,Entire home/apt,11211,2,1,14,250,98
11037,3/22/2009,"Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100,Entire home/apt,11217,2,1,2,240,100
11358,3/25/2009,Bright Clean Spacious 1BR,Brooklyn,Apartment,,Entire home/apt,11213,1,1,0,115,
11358,3/25/2009,Bright Clean Room in Bushwick,Brooklyn,Apartment,,Private room,11237,1,1,0,72,
11481,3/26/2009,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,119,165,91
11481,3/26/2009,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90,Entire home/apt,11220,1,1,79,90,90
11481,3/26/2009,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85,Entire home/apt,11220,1,1,21,105,88
11481,3/26/2009,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85,Entire home/apt,11231,2,1,68,155,88
11481,3/26/2009,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90,Entire home/apt,11231,2,1,106,160,94
11810,3/30/2009,NYC Historic District Posh Studio,Queens,Apartment,,Private room,11372,1,1,0,150,
12169,4/3/2009,"Dream Come True, Too! Williamsburg",Brooklyn,Apartment,90,Private room,11211,1,1,43,89,94
12169,4/3/2009,"Dream Come True! Williamsburg, BK",Brooklyn,Apartment,90,Private room,11211,1,1,91,99,93
12221,4/4/2009,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80,Private room,10451,3,1,105,42,81
12221,4/4/2009,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85,Private room,10451,3,1,96,42,87
12220,4/4/2009,Big Room in front of Central Park,Manhattan,Apartment,85,Private room,10025,1,1,74,132,88
12220,4/4/2009,Your Room in front of Central Park,Manhattan,Apartment,90,Private room,10025,1,1,141,117,90
12712,4/8/2009,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,5,135,92
12712,4/8/2009,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90,Entire home/apt,10002,1,1,146,125,91
12712,4/8/2009,Real 2-Bedroom East Village Apt!,Manhattan,Apartment,85,Entire home/apt,10009,3,1,63,200,87
12869,4/10/2009,Luxury on a Budget,Manhattan,Apartment,90,Entire home/apt,10009,1,1,13,250,92
13070,4/12/2009,Spacious clean & quiet 2 bed/2bath,Manhattan,Bed & Breakfast,80,Entire home/apt,10128,2,1,58,295,83
13424,4/14/2009,An Oasis In Hell's Kitchen!,Manhattan,Apartment,100,Entire home/apt,10019,1,1,7,280,100
13654,4/16/2009,Room with a view in Central Harlem,Manhattan,Apartment,85,Private room,,1,1,11,75,85
13908,4/18/2009,2 BR Upper West Side Apt.,Manhattan,Apartment,65,Entire home/apt,10025,3,1,12,150,66
14063,4/19/2009,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100,Entire home/apt,11201,3,1,4,125,100
14204,4/20/2009,Charming 2 Bedroom Red Hook Loft!,Brooklyn,Apartment,100,Entire home/apt,11231,2,1,18,230,100
14204,4/20/2009,Private room in Red Hook loft!,Brooklyn,Apartment,95,Private room,11231,1,1,21,110,98
15192,4/28/2009,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80,Entire home/apt,11216,3,1,8,159,84
15154,4/28/2009,"Bright 1 Bedroom, Perfect Location!",Manhattan,Apartment,80,Entire home/apt,10023,1,1,2,160,80
15167,4/28/2009,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95,Entire home/apt,10031,3,1,13,107,98
15261,4/29/2009,Cute room in hip Fort Greene,Brooklyn,Apartment,80,Private room,11205,1,1,1,50,80
15523,5/1/2009,Enjoy and discover New York Citi,Staten Island,House,95,Private room,10304,,1,7,69,97
15742,5/4/2009,"Beautiful, private, uptown studio",Manhattan,Apartment,80,Entire home/apt,10031,1,1,20,110,83
15964,5/6/2009,"Large Brooklyn Duplex, Park Slope",Brooklyn,Apartment,,Entire home/apt,11215,3,1,0,175,
16851,5/12/2009,"Hip Whole Apt in Wmsburg, Brooklyn",Brooklyn,Apartment,90,Entire home/apt,11211,1,1,8,125,93
16800,5/12/2009,UES Beautiful Blue Room / Oak Room,Manhattan,Apartment,95,Private room,10029,2,1,150,95,96
16800,5/12/2009,UES Beautiful Home Red Velvet Room,Manhattan,Apartment,95,Private room,10029,2,1,41,95,95
16883,5/13/2009,Spacious Charming Loft Studio,Manhattan,Loft,90,Entire home/apt,10024,2,1,4,135,91
17296,5/15/2009,Bright studio in central Mahattan,Manhattan,Apartment,95,Entire home/apt,10016,1,1,5,100,96
17571,5/17/2009,Perfect for Grandparents + Garden,Brooklyn,House,95,Entire home/apt,11205,2,1,80,200,95
17571,5/17/2009,Perfect for Parents (Part 2),Brooklyn,House,95,Private room,11205,1,1,32,239,97
17655,5/18/2009,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95,Entire home/apt,10002,1,1,17,220,97
17930,5/19/2009,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100,Entire home/apt,11218,3,1,1,199,100
17798,5/19/2009,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100,Entire home/apt,10009,3,1,4,399,100
17985,5/20/2009,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85,Entire home/apt,10002,2,1,38,130,86
18118,5/20/2009,Giant & beautiful home in the sky.,Manhattan,Apartment,,Private room,10031,1,1,0,70,
18229,5/21/2009,Charming & Sunny Slope Duplex Loft,Brooklyn,Loft,,Entire home/apt,11215,2,1,0,110,
18174,5/21/2009,Cosy 2 bedroom in East Village,Manhattan,Apartment,90,Entire home/apt,10003,3,1,55,160,92
18374,5/22/2009,Bright & Modern Downtown Studio,Manhattan,Apartment,95,Entire home/apt,10003,1,1,89,135,96
18611,5/24/2009,East Village sunny & large 2 bdr,Manhattan,Apartment,95,Entire home/apt,10003,2,1,5,350,96
18642,5/24/2009,1 BDR with private toilet/sink,Manhattan,Apartment,,Private room,10031,1,1,0,60,
18729,5/25/2009,"SPACIOUS, BEAUTIFUL CONDO IN BKLYN!",Brooklyn,Condominium,95,Entire home/apt,11215,2,1,9,375,98
19031,5/27/2009,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225,81
19852,6/2/2009,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95,Entire home/apt,10035,1,1,8,165,97
19969,6/3/2009,SoHo Loft - Entire Floor,Manhattan,Apartment,95,Entire home/apt,10013,1,1,52,585,96
20149,6/4/2009,Cool East Williamsburg Apartment,Brooklyn,Apartment,95,Private room,11206,1,1,46,40,96
20805,6/9/2009,Huge Brooklyn Room with Aussie Host,Brooklyn,Apartment,100,Private room,11225,1,1,12,85,100
21286,6/12/2009,UWS Garden Getaway,Manhattan,Apartment,95,Entire home/apt,10024,2,1,9,225,97
21306,6/12/2009,"Large, Bright 1 bdr in Williamsburg",Brooklyn,Apartment,95,Private room,11222,1,1,11,110,96
21475,6/14/2009,High-end doorman bldg in the LES,Manhattan,Apartment,95,Private room,10002,1,1,55,125,96
21823,6/16/2009,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95,Entire home/apt,11221,5,1,9,275,98
21904,6/16/2009,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90,Entire home/apt,10003,1,1,8,240,93
22220,6/18/2009,Modern brick 1 bedroom on UES,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,175,91
22486,6/20/2009,CBG Williamsburg  loft room,Brooklyn,Loft,75,Entire home/apt,11211,4,1,6,130,76
22486,6/20/2009,CBG Partner Prospect Pk Helps Haiti,Brooklyn,Apartment,,Private room,11225,1,1,0,90,
22486,6/20/2009,CBG CtyBeGoodHelpsHaiti#1:1-4,Brooklyn,House,90,Private room,11217,10,1,77,130,91
22486,6/20/2009,CommunityBeGood Helps Haiti Rm #2,Brooklyn,House,85,Private room,11217,1,1,39,130,89
22486,6/20/2009,CommunityBeGood Helps Haiti Rm #3,Brooklyn,House,85,Private room,11217,2,1,13,130,86
22486,6/20/2009,CommunityBeGoodHelpsHaiti #5 Suite,Brooklyn,House,100,Private room,11217,2,1,3,130,100
22486,6/20/2009,CommunitybegoodHelpsHaiti#2.5,Brooklyn,House,90,Private room,11217,2,1,17,120,93
23048,6/24/2009,Park Slope Oasis: Your home base!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,18,139,94
23276,6/25/2009,"Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,260,100
23193,6/25/2009,"Bright, cozy den in 4 bedrm duplex.",Brooklyn,House,100,Private room,11221,1,1,2,35,100
23435,6/26/2009,Spectacular River View Studio,Manhattan,Apartment,95,Entire home/apt,10281,1,1,48,185,96
23577,6/28/2009,Williamsburg foodie inspired loft,Brooklyn,Loft,95,Entire home/apt,11249,1,1,16,175,99
23727,6/29/2009,Prospect Heights quiet sunny nest,Brooklyn,Apartment,95,Entire home/apt,11238,2,1,6,150,97
23633,6/29/2009,1,Brooklyn,Loft,,Private room,11206,1,1,0,120,
23856,6/30/2009,Large modern 2-BR by McCaren Park,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,2,150,100
23843,6/30/2009,Lower East Side/EV 1 BR Charmer,Manhattan,Apartment,95,Entire home/apt,10002,1,1,15,175,96
24000,7/1/2009,sunny EAST VILLAGE bdrm!,Manhattan,Apartment,90,Private room,10009,1,1,80,133,91
24222,7/2/2009,"3BR, 1.5 BA EV apt w/ backyard",Manhattan,Apartment,95,Entire home/apt,10009,4,1,9,375,96
24901,7/8/2009,Beautiful Light Filled Abode,Brooklyn,Apartment,,Entire home/apt,11233,2,1,0,150,
25183,7/10/2009,MAISON DES SIRENES 3,Brooklyn,Apartment,90,Entire home/apt,11216,4,1,23,150,91
25183,7/10/2009,"MAISON DES SIRENES1,book NOW",Brooklyn,Apartment,90,Entire home/apt,11216,4,1,36,150,92
25100,7/10/2009,Room in UWS steps to Central Park!,Manhattan,Apartment,90,Private room,10025,1,1,4,180,90
25533,7/13/2009,NYC Sofa bed St Marks East Village,Manhattan,Apartment,80,Private room,10003,1,1,30,59,81
25533,7/13/2009,NYC Spacious Room East Village,Manhattan,Apartment,70,Private room,10003,1,1,14,99,72
25533,7/13/2009,NYC Spacious Room East Village (2),Manhattan,Apartment,90,Private room,10003,1,1,3,99,90
25551,7/14/2009,williamsburg design // with balcony,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,20,199,97
25632,7/14/2009,"Sunny 2BD, 2 balconies",Brooklyn,Apartment,100,Entire home/apt,11222,2,1,1,300,100
26210,7/19/2009,Private room in Harlem apartment,Manhattan,Apartment,90,Private room,10039,1,1,69,85,94
26333,7/20/2009,Artist Loft in Midtown West,Manhattan,Apartment,95,Entire home/apt,10018,2,1,6,375,96
26640,7/21/2009,Gorgeous Sunny Studio,Manhattan,Apartment,75,Entire home/apt,10024,2,1,38,135,79
26640,7/21/2009,Stunning 1br in Historic Brownstone,Manhattan,Apartment,90,Entire home/apt,10024,2,1,26,289,91
26640,7/21/2009,Sunny Studios in Historic Browstone,Manhattan,Apartment,80,Entire home/apt,10024,1,1,9,179,80
27104,7/23/2009,Great Room in Manhattan - $60/Night,Manhattan,Apartment,90,Private room,10030,1,1,73,60,93
27580,7/26/2009,Sunny South Williamsurg,Brooklyn,Apartment,,Entire home/apt,11211,1,1,0,125,
27969,7/27/2009,Great room in spacious apartment!,Manhattan,Apartment,,Private room,10033,1,1,0,98,
27848,7/27/2009,Bargain Space,Queens,House,85,Private room,11434,2,1,24,55,88
27848,7/27/2009,CRASH PALACE,Queens,House,85,Private room,11434,2,1,11,68,86
27848,7/27/2009,ENJOY THE CITY ON CHEAP,Queens,House,75,Private room,11434,1,1,43,45,78
27848,7/27/2009,Excellent/Pvt Rm,Queens,House,85,Private room,11434,2,1,47,55,88
27848,7/27/2009,Great Deal/Pvt Rm,Queens,House,85,Private room,11434,2,1,58,55,88
27848,7/27/2009,Private Rm2/Shared Bath,Queens,House,90,Private room,11434,2,1,53,55,93
27848,7/27/2009,Right on Budget,Queens,House,85,Private room,11434,2,1,57,68,86
28267,7/28/2009,Cozy BK home with HUGE private yard,Brooklyn,Apartment,95,Entire home/apt,11249,3,1,23,195,95
28217,7/28/2009,Large sunny bedroom in Greenpoint,Brooklyn,Apartment,100,Private room,11222,1,1,2,55,100
28738,7/30/2009,Stunning 1 BR - Battery Park,Manhattan,Apartment,,Entire home/apt,10280,2,1,0,300,
28702,7/30/2009,Share Loft  in the heart of nyc,Manhattan,Loft,90,Private room,10018,1,1,2,120,90
29096,8/1/2009,Clean East Village Studio,Manhattan,Apartment,95,Entire home/apt,10009,1,1,165,135,95
29642,8/4/2009,Cute apartment LES/Nolita/Chinatown,Manhattan,Apartment,90,Entire home/apt,10002,2,1,4,190,90
29642,8/4/2009,Private room in cute central apt,Manhattan,Apartment,95,Private room,10002,1,1,9,95,96
29805,8/5/2009,"Cool, quiet Park Slope apartment",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,125,100
29762,8/5/2009,NYC Special Occasions Room #1,Brooklyn,Apartment,80,Private room,11233,2,1,92,29,83
29762,8/5/2009,NYC Special Occasions Room #2,Brooklyn,Apartment,85,Private room,11233,1,1,79,27,89
29762,8/5/2009,NYC-Brooklyn #1 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,87,39,87
29762,8/5/2009,NYC-Brooklyn #2 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,92,39,88
29762,8/5/2009,NYC-Brooklyn #3 18 min to Manhattan,Brooklyn,Apartment,90,Private room,11233,1,1,98,39,90
29762,8/5/2009,NYC-Brooklyn #4 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,81,39,89
29762,8/5/2009,NYC-Brooklyn #5 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,108,35,85
30193,8/6/2009,Midtown Pied-a-terre,Manhattan,Apartment,90,Entire home/apt,10019,1,1,40,150,93
30529,8/8/2009,Private room w/ separate entrance!,Brooklyn,Apartment,100,Private room,11238,1,1,2,84,100
30811,8/10/2009,European Style apartment in NYC,Manhattan,Apartment,80,Entire home/apt,10025,1,1,1,115,80
30990,8/11/2009,Stay in the Meatpacking District!,Manhattan,Apartment,95,Entire home/apt,,1,1,109,249,95
